	Energy (keV)	Breast Thickness (cm)	Compression-Distance(cm)	Kerma(mGy/hist)	Error(mGy/Hist)
170	26.0	10.25	0	2.080824486176207e-12	3.057625860587622e-15
171	27.0	2.25	0	1.463411082755555e-12	7.753398890148014e-16
172	27.0	3.75	0	1.541133255262322e-12	3.817899992183076e-15
173	27.0	4.25	0	1.566954662926897e-12	3.993209362377032e-15
174	27.0	5.75	0	1.649523640642832e-12	4.548796296901579e-15
175	27.0	6.25	0	1.677568705391637e-12	2.037268013253038e-15
176	27.0	7.75	0	1.769484715205825e-12	4.683116307529328e-15
177	27.0	8.25	0	1.802188745005583e-12	1.565015404002587e-15
178	27.0	9.75	0	1.901086588306123e-12	6.068270744637948e-15
179	27.0	10.25	0	1.93998008360089e-12	5.616196771206908e-15
180	28.0	2.25	0	1.367915527391145e-12	4.547032821735083e-15
181	28.0	3.75	0	1.43917573389169e-12	1.489813378287306e-15
182	28.0	4.25	0	1.461928203760065e-12	1.60857861674083e-15
183	28.0	5.75	0	1.54168751601086e-12	4.626517509958209e-15
184	28.0	6.25	0	1.565465169841328e-12	5.509761734786655e-15
185	28.0	7.75	0	1.651784336631498e-12	2.610875064092256e-15
186	28.0	8.25	0	1.679191803096783e-12	3.578713763120506e-15
187	28.0	9.75	0	1.7746370913766e-12	5.308536655555479e-15
188	28.0	10.25	0	1.806658547080305e-12	3.804615640907853e-15
189	29.0	2.25	0	1.282547466754192e-12	4.445324381304155e-15
190	29.0	3.75	0	1.343874632775573e-12	2.961204678224127e-15
191	29.0	4.25	0	1.368961876441488e-12	3.530848508306117e-15
192	29.0	5.75	0	1.439122821171067e-12	2.907872147306466e-15
193	29.0	6.25	0	1.468083275986668e-12	5.54140176925367e-15
194	29.0	7.75	0	1.545743276046698e-12	6.18088884735679e-15
195	29.0	8.25	0	1.572604418671538e-12	4.579962767951427e-15
196	29.0	9.75	0	1.66550328227132e-12	3.678694826882234e-15
197	29.0	10.25	0	1.694126418492942e-12	4.756429547347919e-15
198	30.0	2.25	0	1.2017285772729e-12	4.280163522539898e-15
199	30.0	3.75	0	1.265221196385823e-12	4.853078998480331e-15
200	30.0	4.25	0	1.288759420155467e-12	5.55826135222013e-15
201	30.0	5.75	0	1.354320926644792e-12	3.49334674470135e-15
202	30.0	6.25	0	1.377339282934303e-12	4.163642778922445e-15
203	30.0	7.75	0	1.446285880725555e-12	2.579846049046026e-15
204	30.0	8.25	0	1.474825679412198e-12	1.887479145486329e-15
205	30.0	9.75	0	1.557807376349003e-12	6.471760570007604e-15
206	30.0	10.25	0	1.58907614860183e-12	5.835927478908728e-15
207	31.0	2.25	0	1.131625836536008e-12	1.738425137359556e-15
208	31.0	3.75	0	1.190974066806045e-12	3.6744481241915e-15
209	31.0	4.25	0	1.209001430722685e-12	3.343920331414408e-15
210	31.0	5.75	0	1.272871052970055e-12	4.387726008669031e-15
211	31.0	6.25	0	1.29460627578443e-12	4.26751588958306e-15
212	31.0	7.75	0	1.361481340563252e-12	2.276555072668731e-15
213	31.0	8.25	0	1.385560596901278e-12	2.606789364610342e-15
214	31.0	9.75	0	1.465339751422308e-12	2.553678394729449e-15
215	31.0	10.25	0	1.493122898204017e-12	2.568678709786834e-15
216	32.0	2.25	0	1.067961251081057e-12	3.705133683973843e-15
217	32.0	3.75	0	1.12049961420677e-12	2.0991633997226e-15
218	32.0	4.25	0	1.14231288328407e-12	1.86018317368628e-15
219	32.0	5.75	0	1.199884568959148e-12	5.226709820875986e-15
220	32.0	6.25	0	1.21895034501804e-12	2.439205639895696e-15
221	32.0	7.75	0	1.28304484632806e-12	5.066626933975981e-15
222	32.0	8.25	0	1.310998636633788e-12	5.445411170128055e-15
223	32.0	9.75	0	1.383188784199302e-12	2.818155873698995e-15
224	32.0	10.25	0	1.40900490059181e-12	2.795603255467951e-15
225	33.0	2.25	0	1.011074785138055e-12	2.772241132735938e-15
226	33.0	3.75	0	1.061867028483172e-12	3.208519570660431e-15
227	33.0	4.25	0	1.077953818370928e-12	3.212672279910676e-15
228	33.0	5.75	0	1.137894671111952e-12	2.011548251071397e-15
229	33.0	6.25	0	1.152621604079665e-12	6.121939274550779e-15
230	33.0	7.75	0	1.218109032760113e-12	3.584851465995101e-15
